antecedents,consequents
'Thoát Nạn Trong Gang Tấc 4','Thoát Nạn Trong Gang Tấc 3'
'Thoát Nạn Trong Gang Tấc 3','Thoát Nạn Trong Gang Tấc 4'
'Thoát Nạn Trong Gang Tấc 6','Thoát Nạn Trong Gang Tấc 5', 'Thoát Nạn Trong Gang Tấc 2'
'Thoát Nạn Trong Gang Tấc 3','Thoát Nạn Trong Gang Tấc 5', 'Thoát Nạn Trong Gang Tấc 2'
'Thoát Nạn Trong Gang Tấc 4','Thoát Nạn Trong Gang Tấc 2'
'Lạnh Lùng','Đoạn Tuyệt'
'Đoạn Tuyệt','Lạnh Lùng'
'Thoát Nạn Trong Gang Tấc 5','Thoát Nạn Trong Gang Tấc 6'
'Thoát Nạn Trong Gang Tấc 6','Thoát Nạn Trong Gang Tấc 5'
'Thoát Nạn Trong Gang Tấc 6','Thoát Nạn Trong Gang Tấc 2'
'Thoát Nạn Trong Gang Tấc 4','Thoát Nạn Trong Gang Tấc 5'
'Thoát Nạn Trong Gang Tấc 2','Thoát Nạn Trong Gang Tấc 3'
'Thoát Nạn Trong Gang Tấc 3','Thoát Nạn Trong Gang Tấc 2'
'Thoát Nạn Trong Gang Tấc 5','Thoát Nạn Trong Gang Tấc 2'
'Thoát Nạn Trong Gang Tấc 2','Thoát Nạn Trong Gang Tấc 5'
'Thoát Nạn Trong Gang Tấc 3','Thoát Nạn Trong Gang Tấc 5'
'Sự Tích Dưa Hấu','Gốc Tích Bánh Chưng Bánh Giầy'
'Gốc Tích Bánh Chưng Bánh Giầy','Sự Tích Dưa Hấu'
'Gốc Tích Bánh Chưng Bánh Giầy','Sự Tích Hồ Gươm'
'Sự Tích Hồ Gươm','Gốc Tích Bánh Chưng Bánh Giầy'
'Yết Kiêu','Thánh Gióng'
'Yết Kiêu','Gốc Tích Bánh Chưng Bánh Giầy'
'Sự Tích Dưa Hấu','Gốc Tích Bộ Lông Quạ & Bộ Lông Công'
'Thánh Gióng','Gốc Tích Bộ Lông Quạ & Bộ Lông Công'
'Gốc Tích Bộ Lông Quạ & Bộ Lông Công','Thánh Gióng'
'Gốc Tích Bánh Chưng Bánh Giầy','Thánh Gióng'
'Thánh Gióng','Gốc Tích Bánh Chưng Bánh Giầy'
'Sọ Dừa','Sự Tích Con Rồng Cháu Tiên'
'Gốc Tích Bánh Chưng Bánh Giầy','Gốc Tích Bộ Lông Quạ & Bộ Lông Công'
'Gốc Tích Bộ Lông Quạ & Bộ Lông Công','Gốc Tích Bánh Chưng Bánh Giầy'
'Yết Kiêu','Sự Tích Hồ Gươm'
'Sự Tích Dưa Hấu','Sự Tích Hồ Gươm'
'Sọ Dừa','Sự Tích Thạch Sùng'
'Gốc Tích Bánh Chưng Bánh Giầy','Thạch Sanh'
'Gốc Tích Bánh Chưng Bánh Giầy','Cây Tre Trăm Đốt'
'Cây Tre Trăm Đốt','Thạch Sanh'
'Thạch Sanh','Cây Tre Trăm Đốt'
'Thánh Gióng','Sự Tích Hồ Gươm'
'Sự Tích Hồ Gươm','Thạch Sanh'
'Thạch Sanh','Sự Tích Hồ Gươm'
'Sự Tích Dưa Hấu','Thạch Sanh'
'Sự Tích Sơn Tinh Thủy Tinh','Ăn Khế Trả Vàng'
'Ăn Khế Trả Vàng','Sự Tích Sơn Tinh Thủy Tinh'
'Sự Tích Dưa Hấu','Sự Tích Trầu Cau'
'Gốc Tích Bộ Lông Quạ & Bộ Lông Công','Thạch Sanh'
'Yết Kiêu','Sự Tích Sơn Tinh Thủy Tinh'
'Sự Tích Hồ Gươm','Cây Tre Trăm Đốt'
'Gốc Tích Bánh Chưng Bánh Giầy','Ăn Khế Trả Vàng'
'Yết Kiêu','Ăn Khế Trả Vàng'
'Thạch Sanh','Ăn Khế Trả Vàng'
'Chưa Đỗ Ông Nghè Đã Đe Hàng Tổng','Cây Tre Trăm Đốt'
'Truyện Hay Dành Cho Thiếu Nhi 2','Truyện Thiếu Nhi Hạt giống tâm hồn - Kho Tàng Trong Túi Giấy'
'Thạch Sanh','Sự Tích Trầu Cau'
'Truyện Ngắn Thạch Lam 2 - Bóng Người Xưa','Truyện Ngắn Thạch Lam 1 - Hai Đứa Trẻ'
'Gốc Tích Bộ Lông Quạ & Bộ Lông Công','Ăn Khế Trả Vàng'
'Sự Tích Hồ Gươm','Ăn Khế Trả Vàng'
'Chưa Đỗ Ông Nghè Đã Đe Hàng Tổng','Sự Tích Con Rồng Cháu Tiên'
'Sự Tích Dưa Hấu','Ăn Khế Trả Vàng'
'Sự Tích Dưa Hấu','Sự Tích Con Rồng Cháu Tiên'
'Gốc Tích Bộ Lông Quạ & Bộ Lông Công','Sự Tích Con Rồng Cháu Tiên'
'Sự Tích Trầu Cau','Sự Tích Con Rồng Cháu Tiên'
'Chú Vịt Xám','Ba Chú Lợn'
'Sự Tích Sơn Tinh Thủy Tinh','Sự Tích Con Rồng Cháu Tiên'
'Cây Tre Trăm Đốt','Sự Tích Con Rồng Cháu Tiên'
'Thạch Sanh','Sự Tích Con Rồng Cháu Tiên'
'Truyện Ngắn Thạch Lam 3 - Tối Ba Mươi','Truyện Ngắn Thạch Lam 1 - Hai Đứa Trẻ'
'Gốc Tích Bánh Chưng Bánh Giầy','Sự Tích Con Rồng Cháu Tiên'
'Chú Vịt Xám','Gà Tơ Đi Học'
'Chú Rô Con Không Vâng Lời Mẹ','Ba Chú Lợn'
'Sự Tích Con Rồng Cháu Tiên','Sự Tích Thạch Sùng'
'Sự Tích Trầu Cau','Sự Tích Thạch Sùng'
'Gốc Tích Bộ Lông Quạ & Bộ Lông Công','Sự Tích Thạch Sùng'
'Dê Con Nhanh Trí','Mèo Con Và Quyển Sách'
'Thạch Sanh','Sự Tích Thạch Sùng'
'Chú Vịt Xám','Bác Gấu Đen Và Hai Chú Thỏ'
'Bí quyết làm giàu của Napoleon Hill','Nghĩ giàu Làm giàu - Think and Grow Rich'
'Cáo, Thỏ Và Gà Trống','Bác Gấu Đen Và Hai Chú Thỏ'
'Lợn Con Sạch Lắm Rồi','Bác Gấu Đen Và Hai Chú Thỏ'
'Gà Tơ Đi Học','Bác Gấu Đen Và Hai Chú Thỏ'
'Chú Thỏ Tinh Khôn','Bác Gấu Đen Và Hai Chú Thỏ'
'Đôi Bạn Tốt','Bác Gấu Đen Và Hai Chú Thỏ'
'Mèo Con Và Quyển Sách','Bác Gấu Đen Và Hai Chú Thỏ'
'Đường Mây Trong Cõi Mộng  ','Trở về từ xứ tuyết'
'Thuật Lãnh Đạo Từ Vị Tu Sĩ Bán Chiếc Ferrari','Vị Tu Sĩ Bán Chiếc Ferrari'
'Đường Mây Trên Đất Hoa','Trở về từ xứ tuyết'
'Ngọc sáng trong hoa sen','Trở Về Từ Cõi Sáng'
'Truyện Thiếu Nhi Hạt giống tâm hồn 4 - Phép Màu Có Giá Bao Nhiêu?','Nghìn Lẻ Một Đêm - 1001 đêm'
'Sống Xanh - Bài Ca Của Cây','Nghìn Lẻ Một Đêm - 1001 đêm'
'Truyện Hay Dành Cho Thiếu Nhi 2','Nghìn Lẻ Một Đêm - 1001 đêm'
'Chàng Ngốc Ivan','Nghìn Lẻ Một Đêm - 1001 đêm'
'Bên Rặng Tuyết Sơn ','Hành Trình Về Phương Đông'
'Sự Sống Bất Tử','Hành Trình Về Phương Đông'
'Đường Mây Trên Đất Hoa','Hành Trình Về Phương Đông'
'Trở về từ xứ tuyết','Hành Trình Về Phương Đông'
'Tại sao phải hành động?','Thái độ quyết định thành công'
'Vươn Tới Sự Hoàn Hảo','Thái độ quyết định thành công'
'Bí Quyết Trở Thành Người Xuất Sắc','Thái độ quyết định thành công'
'Tỏa Sáng Ở Trường Đại Học','Thái độ quyết định thành công'
'10 Điều Tạo Nên Số Phận','Thái độ quyết định thành công'
'Nghệ thuật sống tự tin','Thái độ quyết định thành công'
